Symbol	Name	PharmGKB Accession Id	NCBI Gene ID	HGNC ID	Ensembl Id	Chromosome	Chromosomal Start - GRCh37	Chromosomal Stop - GRCh37	Chromosomal Start - GRCh38	Chromosomal Stop - GRCh38
NOL12	nucleolar protein 12	PA145148362	79159	HGNC:28585	"ENSG00000100101,""ENSG00000256872"""	chr22	38077680	38089718	37686337	37693478
NOL3	nucleolar protein 3	PA31673	8996	HGNC:7869	ENSG00000140939	chr16	67204400	67209640	67170497	67175737
NOL4	nucleolar protein 4	PA31674	8715	HGNC:7870	ENSG00000101746	chr18	31431064	31803515	33851100	34224834
NOL4L	nucleolar protein 4 like	PA25652	140688	HGNC:16106	ENSG00000197183	chr20	31030862	31172875	32443059	32585073
NOL6	nucleolar protein 6	PA134979388	65083	HGNC:19910	ENSG00000165271	chr9	33461351	33473941	33460811	33473943
NOL7	nucleolar protein 7	PA134881915	51406	HGNC:21040	ENSG00000225921	chr6	13612531	13633089	13615327	13632470
NOL8	nucleolar protein 8	PA134918056	55035	HGNC:23387	ENSG00000198000	chr9	95059640	95087876	92297358	92325594
NOL9	nucleolar protein 9	PA142671256	79707	HGNC:26265	ENSG00000162408	chr1	6581407	6614658	6521347	6554598
NOLC1	nucleolar and coiled-body phosphoprotein 1	PA31679	9221	HGNC:15608	ENSG00000166197	chr10	103911933	103923627	102152176	102163871
NOM1	nucleolar protein with MIF4G domain 1	PA25946	64434	HGNC:13244	ENSG00000146909	chr7	156742417	156765876	156949723	156973182
NOMO1	NODAL modulator 1	PA134934458	23420	HGNC:30060	ENSG00000103512	chr16	14927643	14990014	14833786	14896157
NOMO2	NODAL modulator 2	PA134958124	283820	HGNC:22652	ENSG00000185164	chr16	18511182	18573434	18499924	18562159
NOMO3	NODAL modulator 3	PA134950400	408050	HGNC:25242	ENSG00000103226	chr16	16326389	16388668	16232532	16294811
NONO	non-POU domain containing octamer binding	PA31680	4841	HGNC:7871	ENSG00000147140	chrX	70503042	70521018	71283192	71301168
NOP10	NOP10 ribonucleoprotein	PA164723973	55505	HGNC:14378	ENSG00000182117	chr15	34633917	34635362	34341716	34343161
NOP14	NOP14 nucleolar protein	PA164723982	8602	HGNC:16821	ENSG00000087269	chr4	2939663	2965233	2937936	2963506
NOP14-AS1	NOP14 antisense RNA 1	PA134935002	317648	HGNC:20205		chr4	2937273	2952794	2935546	2951078
NOP16	NOP16 nucleolar protein	PA164724025	51491	HGNC:26934	ENSG00000048162	chr5	175810940	175815763	176383937	176388927
NOP2	NOP2 nucleolar protein	PA164724026	4839	HGNC:7867	ENSG00000111641	chr12	6666036	6677498	6556870	6568332
NOP53	NOP53 ribosome biogenesis factor	PA28736	29997	HGNC:4333	ENSG00000105373	chr19	48248793	48260323	47745536	47757066
NOP56	NOP56 ribonucleoprotein	PA164724063	10528	HGNC:15911	ENSG00000101361	chr20	2633178	2639039	2652532	2658393
NOP56P1	NOP56 ribonucleoprotein pseudogene 1	PA134891852	646192	HGNC:13962		chr6	28751410	28751781	28783633	28784004
NOP58	NOP58 ribonucleoprotein	PA164724092	51602	HGNC:29926	ENSG00000055044	chr2	203130515	203168384	202265716	202303661
NOP9	NOP9 nucleolar protein	PA134867241	161424	HGNC:19826	ENSG00000196943	chr14	24769075	24777379	24299854	24309126
NOS1	nitric oxide synthase 1	PA252	4842	HGNC:7872	ENSG00000089250	chr12	117645921	117799607	117208142	117441843
NOS1AP	nitric oxide synthase 1 adaptor protein	PA142671259	9722	HGNC:16859	"ENSG00000198929,""ENSG00000251671"""	chr1	162039581	162339813	162069791	162370023
NOS2	nitric oxide synthase 2	PA164724093	4843	HGNC:7873	ENSG00000007171	chr17	26083792	26127555	27756766	27804339
NOS2B	nitric oxide synthase 2B	PA31681	201288		ENSG00000167494	chr17	18400404	18406599	18497090	18503285
NOS2C	nitric oxide synthase 2C	PA31682	645740		ENSG00000168937	chr17	25978467	25991679	27651441	27664653
NOS3	nitric oxide synthase 3	PA254	4846	HGNC:7876	ENSG00000164867	chr7	150688144	150711687	150991056	151014599
NOSIP	nitric oxide synthase interacting protein	PA134989259	51070	HGNC:17946	ENSG00000142546	chr19	50058725	50083845	49555468	49580599
NOSTRIN	nitric oxide synthase trafficking	PA134992787	115677	HGNC:20203	ENSG00000163072	chr2	169643049	169721849	168786539	168865339
NOTCH1	notch receptor 1	PA31683	4851	HGNC:7881	ENSG00000148400	chr9	139388896	139440238	136494433	136545786
NOTCH2	notch receptor 2	PA31684	4853	HGNC:7882	ENSG00000134250	chr1	120454176	120639880	119911553	120073449
NOTCH2NLA	notch 2 N-terminal like A	PA134983899	388677	HGNC:31862	ENSG00000213240	chr1	145176379	145286270	146151908	146229032
NOTCH2NLB	notch 2 N-terminal like B	PA166181582	100996763	HGNC:53923			0	0	0	0
NOTCH2NLC	notch 2 N-terminal like C	PA166181583	100996717	HGNC:53924			0	0	0	0
NOTCH3	notch receptor 3	PA31685	4854	HGNC:7883	ENSG00000074181	chr19	15270444	15311792	15159633	15200981
NOTCH4	notch receptor 4	PA31686	4855	HGNC:7884	"ENSG00000204301,""ENSG00000234876"""	chr6	32162620	32191844	32194843	32224067
NOTO	notochord homeobox	PA134895171	344022	HGNC:31839	ENSG00000214513	chr2	73429386	73438340	73202258	73211212
NOTUM	notum, palmitoleoyl-protein carboxylesterase	PA142671250	147111	HGNC:27106	ENSG00000185269	chr17	79910383	79919057	81952507	81961181
NOVA1	NOVA alternative splicing regulator 1	PA31688	4857	HGNC:7886	"ENSG00000139910,""ENSG00000248163"",""ENSG00000249644"""	chr14	26915089	27067239	26445883	26597754
NOVA2	NOVA alternative splicing regulator 2	PA31689	4858	HGNC:7887	ENSG00000104967	chr19	46442771	46476657	45933734	45973399
NOX1	NADPH oxidase 1	PA31690	27035	HGNC:7889	ENSG00000007952	chrX	100098313	100129334	100843324	100874345
NOX3	NADPH oxidase 3	PA31691	50508	HGNC:7890	ENSG00000074771	chr6	155716502	155777037	155395368	155455903
NOX4	NADPH oxidase 4	PA31692	50507	HGNC:7891	ENSG00000086991	chr11	89057521	89322779	89324353	89589611
NOX5	NADPH oxidase 5	PA31693	79400	HGNC:14874	"ENSG00000137808,""ENSG00000255346"""	chr15	69222839	69349501	68930500	69057161
NOXA1	NADPH oxidase activator 1	PA35598	10811	HGNC:10668	ENSG00000188747	chr9	140317847	140328858	137423372	137434406
NOXO1	NADPH oxidase organizer 1	PA134896072	124056	HGNC:19404	ENSG00000196408	chr16	2028918	2031704	1978917	1982751
NOXRED1	NADP dependent oxidoreductase domain containing 1	PA134935429	122945	HGNC:20487	ENSG00000165555	chr14	77859827	77890225	77394021	77426013
NPAP1	nuclear pore associated protein 1	PA25519	23742	HGNC:1190	ENSG00000185823	chr15	24920541	24928593	24675394	24683446
NPAP1L	nuclear pore associated protein 1 like	PA166181584	729159	HGNC:53980			0	0	0	0
NPAS1	neuronal PAS domain protein 1	PA31695	4861	HGNC:7894	ENSG00000130751	chr19	47523077	47549033	47019820	47045775
NPAS2	neuronal PAS domain protein 2	PA31696	4862	HGNC:7895	ENSG00000170485	chr2	101436613	101613289	100820151	100996829
NPAS3	neuronal PAS domain protein 3	PA134968746	64067	HGNC:19311	ENSG00000151322	chr14	33404115	34273382	32934785	33804176
NPAS4	neuronal PAS domain protein 4	PA142671254	266743	HGNC:18983	ENSG00000174576	chr11	66188475	66194177	66409158	66426707
NPAT	nuclear protein, coactivator of histone transcription	PA31697	4863	HGNC:7896	ENSG00000149308	chr11	108028117	108093365	108155280	108222638
NPB	neuropeptide B	PA142671255	256933	HGNC:30099	ENSG00000183979	chr17	79860072	79860781	81902109	81902905
NPBWR1	neuropeptides B and W receptor 1	PA28912	2831	HGNC:4522	ENSG00000183729	chr8	53852468	53853454	52939908	52940894
NPBWR2	neuropeptides B and W receptor 2	PA28923	2832	HGNC:4530	ENSG00000125522	chr20	62737183	62738184	64105830	64106831
NPC1	NPC intracellular cholesterol transporter 1	PA31698	4864	HGNC:7897	ENSG00000141458	chr18	21086148	21166581	23506184	23586617
NPC1L1	NPC1 like intracellular cholesterol transporter 1	PA31699	29881	HGNC:7898	ENSG00000015520	chr7	44552134	44580914	44512440	44541650
NPC2	NPC intracellular cholesterol transporter 2	PA31700	10577	HGNC:14537	ENSG00000119655	chr14	74942900	74960084	74479940	74493475
NPDC1	neural proliferation, differentiation and control 1	PA31701	56654	HGNC:7899	ENSG00000107281	chr9	139933909	139941147	137039457	137046224
NPEPL1	aminopeptidase like 1	PA31702	79716	HGNC:16244	ENSG00000215440	chr20	57264187	57290900	58689131	58715844
NPEPPS	aminopeptidase puromycin sensitive	PA31703	9520	HGNC:7900	ENSG00000141279	chr17	45600316	45700642	47522950	47623276
NPFF	neuropeptide FF-amide peptide precursor	PA31704	8620	HGNC:7901	ENSG00000139574	chr12	53900472	53901422	53506688	53507638
NPFFR1	neuropeptide FF receptor 1	PA134934991	64106	HGNC:17425	ENSG00000148734	chr10	72014713	72043450	70254957	70283694
NPFFR2	neuropeptide FF receptor 2	PA28918	10886	HGNC:4525	ENSG00000056291	chr4	72897521	73013918	72031804	72148201
NPHP1	nephrocystin 1	PA31706	4867	HGNC:7905	ENSG00000144061	chr2	110880913	110962639	110123336	110205062
NPHP3	nephrocystin 3	PA31708	27031	HGNC:7907	ENSG00000113971	chr3	132399453	132441303	132680609	132722459
NPHP3-AS1	NPHP3 antisense RNA 1	PA164723683	348808	HGNC:24129	ENSG00000248724	chr3	132441186	132593050	132722342	132874206
NPHP4	nephrocystin 4	PA134927048	261734	HGNC:19104	ENSG00000131697	chr1	5922870	6052618	5862808	5992473
NPHS1	NPHS1 adhesion molecule, nephrin	PA31709	4868	HGNC:7908	ENSG00000161270	chr19	36316274	36342895	35825372	35851993
NPHS2	NPHS2 stomatin family member, podocin	PA31710	7827	HGNC:13394	ENSG00000116218	chr1	179519674	179545086	179550539	179575987
NPIPA1	nuclear pore complex interacting protein family member A1	PA31711	9284	HGNC:7909	ENSG00000183426	chr16	15027316	15045931	14935258	14952074
NPIPA2	nuclear pore complex interacting protein family member A2	PA166123710	642799	HGNC:41979	ENSG00000254852	chr16				
NPIPA3	nuclear pore complex interacting protein family member A3	PA166123711	642778	HGNC:41978	ENSG00000224712	chr16				
NPIPA5	nuclear pore complex interacting protein family member A5	PA166123712	100288332	HGNC:41980	ENSG00000183793	chr16				
NPIPA7	nuclear pore complex interacting protein family member A7	PA166123713	101059938	HGNC:41982	ENSG00000214967					
NPIPA8	nuclear pore complex interacting protein family member A8	PA166123714	101059953	HGNC:41983	ENSG00000214940					
NPIPB11	nuclear pore complex interacting protein family member B11	PA166123720	728888	HGNC:37453	ENSG00000254206					
NPIPB13	nuclear pore complex interacting protein family, member B13	PA166181585	613037	HGNC:41989			0	0	0	0
NPIPB15	nuclear pore complex interacting protein family member B15	PA164724166	440348	HGNC:34409	ENSG00000196436	chr16	74411790	74426013	74374986	74392115
NPIPB3	nuclear pore complex interacting protein family member B3	PA164724182	23117	HGNC:28989	"ENSG00000169246,""ENSG00000243716"""	chr16	21413455	21436658	21402134	21425337
NPIPB4	nuclear pore complex interacting protein family member B4	PA166123715	440345	HGNC:41985	ENSG00000185864					
NPIPB5	nuclear pore complex interacting protein family member B5	PA166123716	100132247	HGNC:37233	ENSG00000243716	chr16				
NPIPB6	nuclear pore complex interacting protein family member B6	PA166123717	728741	HGNC:37454	ENSG00000198156					
NPIPB8	nuclear pore complex interacting protein family member B8	PA166123718	728734	HGNC:37490	ENSG00000255524					
NPIPB9	nuclear pore complex interacting protein family member B9	PA166123719	100507607	HGNC:41987	ENSG00000196993					
NPIPP1	nuclear pore complex interacting protein pseudogene 1	PA165450303	100874381	HGNC:35407	ENSG00000188599	chr16	15198155	15217355	15104298	15123498
NPL	N-acetylneuraminate pyruvate lyase	PA25602	80896	HGNC:16781	ENSG00000135838	chr1	182758584	182799519	182789449	182830384
NPLOC4	NPL4 homolog, ubiquitin recognition factor	PA143485558	55666	HGNC:18261	ENSG00000182446	chr17	79523913	79604138	81556885	81637153
NPM1	nucleophosmin 1	PA31712	4869	HGNC:7910	ENSG00000181163	chr5	170814652	170837888	171387648	171410900
NPM1P1	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 1	PA31713	4870	HGNC:7911		chr18	39368871	39369360	41788907	41789396
NPM1P10	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 10	PA31714	10837	HGNC:7912		chr6	104472802	104474734	104024927	104026859
NPM1P11	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 11	PA31715	10836	HGNC:7913		chr7	11297002	11298267	11257375	11258640
NPM1P12	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 12	PA31716	10835	HGNC:7914		chr7	149031005	149032261	149333914	149335170
NPM1P13	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 13	PA31717	10834	HGNC:7915		chr7	18988214	18989485	18948591	18949862
NPM1P14	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 14	PA31718	10833	HGNC:7916		chr7	112160451	112162038	112520396	112521983
NPM1P17	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 17	PA31721	10830	HGNC:7919		chr3	137442497	137443410	137723655	137724568
NPM1P18	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 18	PA31722	10829	HGNC:7920		chr7	36858468	36859621	36818863	36820016
NPM1P19	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 19	PA31723	10828	HGNC:7921		chr20	37606357	37607157	38977514	38978514
NPM1P2	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 2	PA31724	4871	HGNC:7922		chr18	23784744	23786507	26204780	26206543
NPM1P20	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 20	PA134983842	326608	HGNC:20140		chr14	102309098	102310467	101842761	101844130
NPM1P21	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21	PA142671249	100129237	HGNC:13855		chr8	57013470	57014920	56100911	56102361
NPM1P3	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 3	PA31725	4872	HGNC:7923		chr16	5415697	5417009	5365696	5367008
NPM1P4	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 4	PA31726	100128903	HGNC:7924		chr13	28270210	28271439	27696073	27697302
NPM1P5	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 5	PA31727	4874	HGNC:7925		chr15	92828960	92830464	92285730	92287234
NPM1P6	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 6	PA31728	4875	HGNC:7926		chr8	62114814	62116104	61202255	61203545
NPM1P7	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 7	PA31729	10831	HGNC:7927		chr12	9847883	9849145	9695287	9696549
NPM1P8	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 8	PA31730	100130233	HGNC:7928		chrX	32224022	32224852	32205766	32206935
NPM1P9	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 9	PA31731	392428	HGNC:7929		chrX	14852280	14853539	14834158	14835417
NPM2	nucleophosmin/nucleoplasmin 2	PA31732	10361	HGNC:7930	ENSG00000158806	chr8	21881621	21894408	22023308	22036908
NPM3	nucleophosmin/nucleoplasmin 3	PA31733	10360	HGNC:7931	ENSG00000107833	chr10	103541082	103543170	101781325	101783413
NPNT	nephronectin	PA142671247	255743	HGNC:27405	ENSG00000168743	chr4	106816588	106892828	105895440	105971671
NPPA	natriuretic peptide A	PA256	4878	HGNC:7939	ENSG00000175206	chr1	11905766	11907840	11845709	11847783
NPPA-AS1	NPPA antisense RNA 1	PA165752124	100379251	HGNC:37635		chr1	11900376	11907673	11840319	11847616
NPPB	natriuretic peptide B	PA31734	4879	HGNC:7940	ENSG00000120937	chr1	11917521	11918992	11857464	11858935
NPPC	natriuretic peptide C	PA31735	4880	HGNC:7941	ENSG00000163273	chr2	232786805	232791038	231922094	231926403
NPR1	natriuretic peptide receptor 1	PA31736	4881	HGNC:7943	ENSG00000169418	chr1	153651093	153666468	153678617	153693992
NPR2	natriuretic peptide receptor 2	PA257	4882	HGNC:7944	ENSG00000159899	chr9	35789962	35809728	35752945	35809731
NPR3	natriuretic peptide receptor 3	PA31737	4883	HGNC:7945	ENSG00000113389	chr5	32710284	32791830	32689076	32791724
NPRL2	NPR2 like, GATOR1 complex subunit	PA165697981	10641	HGNC:24969	ENSG00000114388	chr3	50384918	50388486	50347487	50351055
NPRL3	NPR3 like, GATOR1 complex subunit	PA25550	8131	HGNC:14124	ENSG00000103148	chr16	135800	188697	85801	138698
NPS	neuropeptide S	PA162398160	594857	HGNC:33940	ENSG00000214285	chr10	129347613	129350935	127549349	127552671
NPSR1	neuropeptide S receptor 1	PA134951416	387129	HGNC:23631	ENSG00000187258	chr7	34697897	34917944	34658239	34878332
NPTN	neuroplastin	PA134927704	27020	HGNC:17867	ENSG00000156642	chr15	73852344	73925753	73560003	73633412
NPTX1	neuronal pentraxin 1	PA31738	4884	HGNC:7952	ENSG00000171246	chr17	78440633	78450404	80466833	80476604
NPTX2	neuronal pentraxin 2	PA31739	4885	HGNC:7953	ENSG00000106236	chr7	98246597	98259181	98617285	98629869
NPTXR	neuronal pentraxin receptor	PA31740	23467	HGNC:7954	ENSG00000221890	chr22	39214456	39240017	38818451	38844012
NPVF	neuropeptide VF precursor	PA162398161	64111	HGNC:13782	ENSG00000105954	chr7	25264189	25268105	25224570	25228486
NPW	neuropeptide W	PA142671248	283869	HGNC:30509	ENSG00000183971	chr16	2069521	2070756	2019520	2020755
NPY	neuropeptide Y	PA255	4852	HGNC:7955	ENSG00000122585	chr7	24323807	24331484	24284188	24291865
NPY1R	neuropeptide Y receptor Y1	PA258	4886	HGNC:7956	ENSG00000164128	chr4	164245116	164265984	163323962	163344847
NPY2R	neuropeptide Y receptor Y2	PA31741	4887	HGNC:7957	ENSG00000185149	chr4	156094924	156138248	155173514	155217078
NPY4R	neuropeptide Y receptor Y4	PA33692	5540	HGNC:9329	ENSG00000204174	chr10	47083534	47088320	46458551	46470668
NPY4R2	neuropeptide Y receptor Y4-2	PA166181586	100996758	HGNC:52383			0	0	0	0
NPY5R	neuropeptide Y receptor Y5	PA31742	4889	HGNC:7958	ENSG00000164129	chr4	164265062	164273540	163336968	163352277
NPY6R	neuropeptide Y receptor Y6 (pseudogene)	PA31743	4888	HGNC:7959		chr5	137136882	137146440	137801193	137810751
NQO1	NAD(P)H quinone dehydrogenase 1	PA31744	1728	HGNC:2874	ENSG00000181019	chr16	69743304	69760849	69709401	69726668
NQO2	N-ribosyldihydronicotinamide:quinone reductase 2	PA31745	4835	HGNC:7856	ENSG00000124588	chr6	3000067	3019997	2999816	3019876
NR0B1	nuclear receptor subfamily 0 group B member 1	PA31746	190	HGNC:7960	ENSG00000169297	chrX	30322539	30327495	30304422	30309399
NR0B2	nuclear receptor subfamily 0 group B member 2	PA31747	8431	HGNC:7961	ENSG00000131910	chr1	27237975	27240567	26911484	26914076
NR1D1	nuclear receptor subfamily 1 group D member 1	PA31748	9572	HGNC:7962	ENSG00000126368	chr17	38249037	38256978	40092784	40100725
NR1D2	nuclear receptor subfamily 1 group D member 2	PA31749	9975	HGNC:7963	ENSG00000174738	chr3	23986751	24022109	23945260	23980618
NR1H2	nuclear receptor subfamily 1 group H member 2	PA31750	7376	HGNC:7965	ENSG00000131408	chr19	50879680	50886285	50376423	50383028
NR1H3	nuclear receptor subfamily 1 group H member 3	PA31751	10062	HGNC:7966	ENSG00000025434	chr11	47269851	47290584	47248300	47269033
NR1H4	nuclear receptor subfamily 1 group H member 4	PA31752	9971	HGNC:7967	ENSG00000012504	chr12	100867486	100957645	100473773	100563867
NR1I2	nuclear receptor subfamily 1 group I member 2	PA378	8856	HGNC:7968	ENSG00000144852	chr3	119499331	119552295	119780484	119818485
NR1I3	nuclear receptor subfamily 1 group I member 3	PA391	9970	HGNC:7969	ENSG00000143257	chr1	161199456	161208432	161229666	161238623
NR1I4	nuclear receptor subfamily 1, group I, member 4	PA31753	22817	HGNC:7970						
NR2C1	nuclear receptor subfamily 2 group C member 1	PA31754	7181	HGNC:7971	ENSG00000120798	chr12	95414005	95467404	95020229	95073628
NR2C2	nuclear receptor subfamily 2 group C member 2	PA31755	7182	HGNC:7972	ENSG00000177463	chr3	14989091	15090780	14947584	15049279
NR2C2AP	nuclear receptor 2C2 associated protein	PA162398172	126382	HGNC:30763	ENSG00000184162	chr19	19312223	19314238	19201409	19203453
NR2E1	nuclear receptor subfamily 2 group E member 1	PA31756	7101	HGNC:7973	ENSG00000112333	chr6	108487215	108510013	108166058	108188809
NR2E3	nuclear receptor subfamily 2 group E member 3	PA31757	10002	HGNC:7974	ENSG00000031544	chr15	72102888	72110600	71810548	71818259
NR2F1	nuclear receptor subfamily 2 group F member 1	PA31758	7025	HGNC:7975	ENSG00000175745	chr5	92919043	92930319	93583337	93594613
NR2F2	nuclear receptor subfamily 2 group F member 2	PA31759	7026	HGNC:7976	ENSG00000185551	chr15	96869157	96883492	96325928	96340263
NR2F6	nuclear receptor subfamily 2 group F member 6	PA31760	2063	HGNC:7977	ENSG00000160113	chr19	17342692	17356744	17231885	17245342
NR3C1	nuclear receptor subfamily 3 group C member 1	PA181	2908	HGNC:7978	ENSG00000113580	chr5	142657496	143113322	143277931	143435512
NR3C1P1	nuclear receptor subfamily 3, group C, member 1 pseudogene 1	PA28989	2910	HGNC:4592		chr16	87500742	87501291	87467136	87467670
NR3C2	nuclear receptor subfamily 3 group C member 2	PA242	4306	HGNC:7979	ENSG00000151623	chr4	148999915	149365850	148078764	148445287
NR4A1	nuclear receptor subfamily 4 group A member 1	PA31761	3164	HGNC:7980	ENSG00000123358	chr12	52416616	52453291	52022832	52059507
NR4A2	nuclear receptor subfamily 4 group A member 2	PA31762	4929	HGNC:7981	ENSG00000153234	chr2	157180944	157189287	156324432	156334683
NR4A3	nuclear receptor subfamily 4 group A member 3	PA31763	8013	HGNC:7982	ENSG00000119508	chr9	102584137	102629173	99821855	99866893
NR5A1	nuclear receptor subfamily 5 group A member 1	PA31764	2516	HGNC:7983	ENSG00000136931	chr9	127243515	127269769	124481234	124507420
NR5A2	nuclear receptor subfamily 5 group A member 2	PA31765	2494	HGNC:7984	ENSG00000116833	chr1	199996730	200146552	200027602	200177424
NR6A1	nuclear receptor subfamily 6 group A member 1	PA31766	2649	HGNC:7985	ENSG00000148200	chr9	127279554	127533589	124517275	124771310
NRAP	nebulin related anchoring protein	PA31767	4892	HGNC:7988	ENSG00000197893	chr10	115348583	115423829	113588824	113664070
NRARP	NOTCH regulated ankyrin repeat protein	PA164724205	441478	HGNC:33843	ENSG00000198435	chr9	140194083	140196703	137299631	137302251
NRAS	NRAS proto-oncogene, GTPase	PA31768	4893	HGNC:7989	ENSG00000213281	chr1	115247085	115259515	114704464	114716894
NRBF2	nuclear receptor binding factor 2	PA134946285	29982	HGNC:19692	ENSG00000148572	chr10	64893007	64914786	63133247	63155031
NRBP1	nuclear receptor binding protein 1	PA31772	29959	HGNC:7993	ENSG00000115216	chr2	27651473	27665126	27427790	27442259
NRBP2	nuclear receptor binding protein 2	PA134891143	340371	HGNC:19339	ENSG00000185189	chr8	144915755	144924200	143829776	143840974
NRCAM	neuronal cell adhesion molecule	PA31773	4897	HGNC:7994	ENSG00000091129	chr7	107788071	108096841	108147626	108456442
NRDC	nardilysin convertase	PA31774	4898	HGNC:7995	ENSG00000078618	chr1	52254864	52344609	51789192	51878937
NRDE2	NRDE-2, necessary for RNA interference, domain containing	PA134926790	55051	HGNC:20186	ENSG00000119720	chr14	90744398	90798481	90274276	90332137
NREP	neuronal regeneration related protein	PA128394547	9315	HGNC:16834	ENSG00000134986	chr5	111065000	111312628	111729303	111976931
NRF1	nuclear respiratory factor 1	PA31775	4899	HGNC:7996	ENSG00000106459	chr7	129251555	129396922	129611702	129757082
NRG1	neuregulin 1	PA31776	3084	HGNC:7997	ENSG00000157168	chr8	31496820	32622558	31639222	32771716
NRG2	neuregulin 2	PA31777	9542	HGNC:7998	ENSG00000158458	chr5	139226364	139422884	139846779	140043675
NRG3	neuregulin 3	PA31778	10718	HGNC:7999	ENSG00000185737	chr10	83635070	84746935	81875298	82989979
NRG3-AS1	NRG3 antisense RNA 1	PA134992709	101929590	HGNC:31429		chr10	83985163	83992390	82229014	82232920
NRG4	neuregulin 4	PA142671246	145957	HGNC:29862	ENSG00000169752	chr15	76234314	76304785	75935190	76062997
NRGN	neurogranin	PA31779	4900	HGNC:8000	ENSG00000154146	chr11	124609829	124617102	124739933	124747206
NRIP1	nuclear receptor interacting protein 1	PA31780	8204	HGNC:8001	ENSG00000180530	chr21	16333556	16438224	14961235	15065903
NRIP2	nuclear receptor interacting protein 2	PA134978127	83714	HGNC:23078	ENSG00000053702	chr12	2934514	2944372	2825348	2835536
NRIP3	nuclear receptor interacting protein 3	PA25481	56675	HGNC:1167	ENSG00000175352	chr11	9002123	9025596	8980576	9004049
NRK	Nik related kinase	PA134869113	203447	HGNC:25391	ENSG00000123572	chrX	105066536	105202602	105821944	105958610
NRL	neural retina leucine zipper	PA31781	4901	HGNC:8002	ENSG00000129535	chr14	24547902	24584223	24078693	24114924
NRM	nurim	PA31782	11270	HGNC:8003	"ENSG00000137404,""ENSG00000206484"",""ENSG00000228854"",""ENSG00000228867"",""ENSG00000234809"",""ENSG00000235773"",""ENSG00000236843"""	chr6	30655824	30659197	30688047	30691420
NRN1	neuritin 1	PA38477	51299	HGNC:17972	ENSG00000124785	chr6	5998232	6007838	5997999	6007605
NRN1L	neuritin 1 like	PA162398187	123904	HGNC:29811	ENSG00000188038	chr16	67918781	67920271	67884878	67886368
NRON	non-protein coding RNA, repressor of NFAT	PA164747531	641373	HGNC:37079	ENSG00000253079	chr9	129170054	129172783	126407775	126410504
NRP1	neuropilin 1	PA31783	8829	HGNC:8004	ENSG00000099250	chr10	33466419	33623833	33177491	33334905
NRP2	neuropilin 2	PA31784	8828	HGNC:8005	ENSG00000118257	chr2	206547184	206662857	205682450	205798133
NRROS	negative regulator of reactive oxygen species	PA142671521	375387	HGNC:24613	ENSG00000174004	chr3	196366656	196388875	196639696	196662004
NRSN1	neurensin 1	PA38254	140767	HGNC:17881	ENSG00000152954	chr6	24126414	24147757	24126186	24147529
NRSN2	neurensin 2	PA25805	80023	HGNC:16229	ENSG00000125841	chr20	326789	335512	346726	359705
NRTN	neurturin	PA31785	4902	HGNC:8007	ENSG00000171119	chr19	5823818	5828335	5805387	5828324
NRXN1	neurexin 1	PA31786	9378	HGNC:8008	ENSG00000179915	chr2	50145643	51259674	49918503	51032536
NRXN2	neurexin 2	PA31787	9379	HGNC:8009	ENSG00000110076	chr11	64373646	64490660	64606174	64723188
NRXN3	neurexin 3	PA31788	9369	HGNC:8010	ENSG00000021645	chr14	78636716	80334633	77979904	79868290
NSA2	NSA2 ribosome biogenesis factor	PA165660390	10412	HGNC:30728	ENSG00000164346	chr5	74062816	74072737	74765429	74776912
NSD1	nuclear receptor binding SET domain protein 1	PA31790	64324	HGNC:14234	ENSG00000165671	chr5	176560026	176727214	177133079	177300213
NSD2	nuclear receptor binding SET domain protein 2	PA37369	7468	HGNC:12766	ENSG00000109685	chr4	1873123	1983934	1871357	1982207
NSD3	nuclear receptor binding SET domain protein 3	PA37370	54904	HGNC:12767	ENSG00000147548	chr8	38127217	38239872	38275042	38382272
NSDHL	NAD(P) dependent steroid dehydrogenase-like	PA134959020	50814	HGNC:13398	ENSG00000147383	chrX	151999511	152037907	152830967	152869363
